City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tete,-16.1564,33.5867,22.05,64,0,0.0,MZ,1713735461
83,lebu,-37.6167,-73.65,14.74,75,99,6.83,CL,1713734968
84,tamanrasset,22.785,5.5228,25.95,9,0,2.57,DZ,1713735461
85,fort knox,37.8911,-85.9636,13.53,37,75,4.12,US,1713735461
86,chonchi,-42.6128,-73.8092,11.56,84,100,1.01,CL,1713735307
87,yeraliyev,43.2,51.65,18.74,58,66,3.15,KZ,1713735469
88,porto novo,6.4965,2.6036,25.9,82,78,3.07,BJ,1713735075
89,yellowknife,62.456,-114.3525,11.29,40,20,3.09,CA,1713735351
90,formosa do rio preto,-11.0483,-45.1931,27.07,58,100,1.23,BR,1713735473
91,freeport,40.6576,-73.5832,11.66,39,20,7.72,US,1713735473
92,nemuro,43.3236,145.575,2.78,91,96,4.44,JP,1713735473
93,codrington,-38.2667,141.9667,8.13,88,4,2.93,AU,1713735474
94,taltal,-25.4,-70.4833,18.91,81,17,2.42,CL,1713735151
95,ar ruways,24.1103,52.7306,26.58,50,1,5.63,AE,1713735475
96,los lunas,34.8062,-106.7334,24.42,29,0,2.24,US,1713735436
97,malpica,43.3228,-8.8105,13.09,60,0,7.04,ES,1713735475
98,luanda,-8.8368,13.2343,28.0,87,75,3.09,AO,1713735360
99,tongouson,5.0214,120.1328,27.82,79,60,1.41,PH,1713735476
100,kargasok,59.0556,80.8572,1.09,100,100,4.92,RU,1713735476
101,dakhla,23.6848,-15.958,19.01,88,0,7.2,EH,1713735476
102,colonia,50.9333,6.95,4.98,74,0,2.57,DE,1713735125
103,nogliki,51.8333,143.1667,0.19,97,100,4.47,RU,1713735477
104,llanes,43.4198,-4.7549,9.24,77,6,4.37,ES,1713735477
105,qui nhon,13.7667,109.2333,25.28,88,93,3.41,VN,1713735477
106,turpan,42.9333,89.1667,22.04,18,0,1.45,CN,1713735478
107,humahuaca,-23.2054,-65.3505,21.31,19,11,1.39,AR,1713735485
108,acapulco de juarez,16.8634,-99.8901,27.9,74,40,6.69,MX,1713734981
109,kupang,-10.1667,123.5833,26.32,94,20,3.09,ID,1713735485
110,vernon,50.2581,-119.2691,15.16,33,100,2.24,CA,1713735487
111,dire,12.2833,-10.9667,36.04,19,100,1.52,ML,1713735487
112,papatowai,-46.5619,169.4708,8.31,82,84,8.7,NZ,1713735358
113,punta arenas,-53.15,-70.9167,8.06,66,0,12.86,CL,1713735128
114,xai-xai,-25.0519,33.6442,20.96,78,0,3.29,MZ,1713735488
115,dudinka,69.4058,86.1778,-16.85,99,94,1.34,RU,1713735158
116,kiunga,-6.1219,141.2906,24.08,100,100,0.3,PG,1713735490
117,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,97,40,5.0,RU,1713735204
118,san patricio,28.017,-97.5169,23.4,53,74,7.04,US,1713735025
119,lampang,18.3333,99.5,26.42,48,0,0.47,TH,1713735492
120,khandyga,62.6667,135.6,-0.03,99,100,0.97,RU,1713735493
121,kununurra,-15.7667,128.7333,21.99,56,40,3.09,AU,1713735329
122,bedele,8.456,36.353,14.82,85,97,1.62,ET,1713735493
123,akureyri,65.6835,-18.0878,7.96,39,0,5.66,IS,1713734987
124,ca mau,9.1769,105.15,25.01,82,100,1.24,VN,1713735493
125,kirakira,-10.4544,161.9205,28.04,82,11,0.53,SB,1713734983
126,namtsy,62.7161,129.6658,-1.31,89,97,3.72,RU,1713735493
127,atafu village,-8.5421,-172.5159,29.57,77,48,5.43,TK,1713735490
128,qaqortoq,60.7167,-46.0333,0.96,83,51,1.86,GL,1713735104
129,whitehorse,60.7161,-135.0538,12.43,18,20,4.63,CA,1713735256
130,oranjemund,-28.55,16.4333,16.17,83,100,0.64,NA,1713735251
131,rongelap,11.1635,166.8941,27.38,80,73,7.78,MH,1713735494
132,bay harbor,30.1471,-85.6146,18.45,84,78,3.13,US,1713735494
133,udachny,66.4167,112.4,-1.42,95,100,1.57,RU,1713735235
134,sisimiut,66.9395,-53.6735,1.47,90,99,12.6,GL,1713735166
135,saint-lin-laurentides,45.8501,-73.7659,8.94,55,100,5.29,CA,1713735495
136,kerikeri,-35.2268,173.9474,18.28,80,0,4.39,NZ,1713735042
137,fale old settlement,-9.3852,-171.2468,29.63,76,48,5.16,TK,1713735495
138,hays,30.0502,-98.0336,21.43,57,48,1.34,US,1713735495
139,awjilah,29.1081,21.2869,25.8,17,100,5.44,LY,1713735495
140,tsiombe,-25.3,45.4833,18.62,91,0,1.29,MG,1713735496
141,zeya,53.75,127.2667,4.71,89,100,4.66,RU,1713735496
